Name,Breed,Sex and Status,Age,Size,Adoption Status,Species,Rescue ID,General Color,Current Age,Fence Required,Declawed,Housetrained,Exercise Needs,Grooming Needs,Shedding Amount,Owner Experience Needed,Reaction to New People
Nash,Domestic Short Hair / Mixed (short coat),Male (neutered),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220468,General Color: Orange (Mostly),Current Age: 2 Years 9 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Fancy,Calico / Mixed (short coat),Female (spayed),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220474,General Color: Calico or Dilute Calico,Current Age: 2 Years 7 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Frida,Domestic Short Hair / Mixed (short coat),Female (spayed),Baby,Status:Adopted!,Species: Cat,Rescue ID: C220473,"General Color: Gray, Blue or Silver Tabby",Current Age: 2 Years 7 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Not Required,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Ike,Norwegian Forest Cat / Maine Coon / Mixed (medium coat),Male (not neutered),Adult,Large,Status:Adopted!,Species: Cat,Rescue ID: C190015,General Color: Black and White,Current Age: 7 Years 2 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Moderate,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Silver,Maine Coon / Munchkin / Mixed (long coat),Female (spayed),Young,Small,Status:Adopted!,Species: Cat,Rescue ID: C180260,General Color: Gray and White,Current Age: 7 Years 5 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Harriette,Maine Coon / Domestic Medium Hair / Mixed (medium coat),Female (spayed),Baby,Large,Status:Adopted!,Species: Cat,Rescue ID: C180265,General Color: Tortoiseshell,Current Age: 7 Years  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Tito,Bombay / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Young,Status:Adopted!,Species: Cat,Rescue ID: C180234,General Color: Black (Mostly),Current Age: 7 Years 3 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Moderate,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Pollo,Ragdoll / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Baby,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180138,General Color: Orange,Current Age: 7 Years 2 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Marco,Ragdoll / Domestic Medium Hair / Mixed (medium coat),Male (not neutered),Baby,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180137,General Color: Orange,Current Age: 7 Years 2 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
McEnroe,Tabby / Domestic Short Hair / Mixed (short coat),Male (neutered),Young,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180060,General Color: Red Tabby,Color: Tabby,Current Age: 8 Years  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Remy (Louie),Maine Coon / Domestic Long Hair / Mixed (medium coat),Male (neutered),Young,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180101,General Color: Gray (Mostly),Color: Tabby,Current Age: 7 Years 2 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Annie,Russian Blue / Tortoiseshell / Mixed (short coat),Female (spayed),Young,Small,Status:Adopted!,Species: Cat,Rescue ID: C180047,General Color: Gray (Mostly),Color: dilute tortoiseshell / Bicolor,Current Age: 7 Years 7 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Bagel,Domestic Medium Hair / Calico / Mixed (medium coat),Female (not spayed),Baby,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180125,General Color: Calico or Dilute Calico,Color: Calico,Current Age: 7 Years 2 Months  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Angie,Maine Coon / Mixed (long coat),Female (spayed),Young,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180111,General Color: Brown (Mostly),Color: Tabby,Current Age: 8 Years 1 Month  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
Triston,Tabby / Domestic Short Hair / Mixed (short coat),Male (neutered),Adult,Medium,Status:Adopted!,Species: Cat,Rescue ID: C180165,General Color: Brown Tabby,Current Age: 9 Years  (best estimate),Fence Required: No,Declawed: No,Housetrained: Yes,Exercise Needs: Not Required,Grooming Needs: Moderate,Shedding Amount: Moderate,Owner Experience Needed: None,Reaction to New People: Friendly
